gene,GSM3290067,GSM3290068,GSM3290069,GSM3290070,GSM3290075,GSM3290077,GSM3290082,GSM3290084,GSM3290099,GSM3290103,GSM3290105,GSM3290107,GSM3290108,GSM3290109,GSM3290113,GSM3290116,GSM3290126,GSM3290127,GSM3290129,GSM3290136,GSM3290138,GSM3290140,GSM3290143,GSM3290148
HLA-A,12.026506,11.604026,12.026506,11.7499,11.949332,12.114832,12.159698,12.114832,12.32978,12.228852,11.844058,11.965312,12.049936,12.228852,12.159698,12.181664,12.159698,11.928212,12.181664,11.965312,12.049936,11.965312,11.90276,12.159698
HLA-DRA,11.688724,11.526288,11.821756,11.31527,11.731148,11.7499,12.07236,12.07236,12.477008,11.863424,11.863424,11.97866,11.90276,12.477008,12.228852,12.049936,11.880592,11.526288,12.049936,11.454054,12.003582,12.026506,12.026506,12.114832
CD74,10.698204,10.331854,10.90022,10.273384,10.64294,10.48375,10.953986,10.921534,11.222398,10.684774,10.544318,11.059156,10.91374,11.526288,11.118244,11.1711,10.815048,10.75377,10.516014,10.1157676,10.767812,10.961994,10.903557,11.048578
HLA-DPB1,10.572818,10.747454,10.839044,10.1281278,10.0104354,10.596826,10.624244,10.268894,11.201032,10.432122,10.654056,10.84772,10.64294,11.620424,10.87451,11.086182,10.633833,10.28135,10.313522,9.9175216,10.822836,10.75377,10.67433,11.03832
RPL15,10.489412,10.577772,10.572818,10.499102,10.692104,10.351354,10.475268,10.774546,10.238302,10.613552,10.596826,10.67433,10.253188,10.399924,10.0384192,10.1455462,10.516014,10.493926,10.921534,10.704016,10.533196,10.54969,10.726436,10.432122
LCP1,9.4498628,9.3877304,10.1060278,9.8297104,9.6615982,10.238302,10.313522,10.0747922,10.815048,9.9082414,9.7733098,9.7305844,9.858401,10.782018,10.35966,10.317112,9.8331204,10.0346138,10.055898,9.7089544,10.0709756,10.1493822,9.8614592,10.572818
ARHGDIB,10.1060278,9.3019858,10.1124412,9.7898548,9.8711036,10.0384192,10.253188,10.294158,10.509634,9.8614592,10.0709756,9.7629784,9.853353,10.661198,10.326922,9.9966244,9.8555878,9.935264,9.879549,10.1092826,9.7688464,10.224926,9.957797,10.210832
PON2,9.9252744,9.8555878,9.9751006,9.3781492,9.6903902,9.6755762,9.9545562,9.8445456,9.5460764,10.1311032,9.7758642,10.029323,9.944831,8.570317,9.5300922,9.52626,9.5972912,9.53603,9.743481,10.1711836,10.1774374,9.8130976,9.8862528,9.4049776
FMO2,10.224926,10.14215,9.581549,9.6978334,9.6165522,10.0747922,9.4615976,9.6589042,9.3609306,10.67433,9.5282078,9.9196786,9.8961908,9.4853668,9.1538672,9.2434112,9.9616252,10.54969,9.9480054,9.7140458,10.0128916,9.8862528,9.8117086,9.6978334
CD53,9.4324896,9.3713982,9.4399118,9.200344,8.6950156,9.4996742,9.5863762,9.217847,10.1730668,9.1443164,9.4049776,9.3111468,9.5587182,10.630938,10.256972,9.4069234,9.5192932,9.4536032,9.0265278,9.1632856,9.467145,9.6729342,9.1819442,9.9480054
CD55,10.032127,9.7998812,9.4814542,9.467145,9.238681,9.3664882,9.521267,9.9905204,9.4652362,9.314519,9.521267,9.4652362,9.473182,8.9496966,9.0850168,9.217847,9.55035,9.4754282,9.8899828,9.6662816,9.6589042,9.4775142,9.4217424,9.3856024
MFSD1,8.9936606,9.2967552,9.3575246,9.1552186,8.983435,9.54833,9.2637598,8.9204426,9.497968,9.0565954,8.9897726,9.2309366,9.1707538,9.815832,9.4399118,8.9651956,9.2263158,9.0900864,9.2263158,9.2980026,9.1753742,9.4289208,9.4088706,9.3781492
EVI2B,9.345716,8.811552,9.2147872,8.8248712,8.8428768,8.8542798,9.232443,8.9809384,9.8743794,9.0540834,9.0265278,9.0194606,9.470798,9.8711036,9.7653148,8.8491578,8.9484226,8.3766922,9.3518382,8.9821366,9.3221628,9.3096672,9.2066896,9.2130782
MGST3,9.6245614,9.6832294,9.4996742,9.2147872,9.3974838,9.1905782,9.5837766,9.3592508,9.2711512,9.2543738,9.4069234,9.024019,9.1353198,8.6799942,8.8782516,9.009379,9.1676618,8.8934332,9.1977376,9.2934802,9.036998,9.2864644,9.2593034,9.5049742
HLA-DQB1,8.53989,9.4122206,9.1920096,9.0565954,7.7849798,9.1131474,9.5606544,9.2677656,10.27792,9.6783916,9.8268254,9.470798,9.4905432,10.636728,10.214652,10.0586166,8.3766922,9.2758336,9.5167808,8.9015986,9.8103196,10.0586166,9.6516286,7.9692722
OGT,9.1786654,9.402935,9.1175964,9.017072,9.497968,9.1691788,9.5236016,9.3533462,9.2503252,9.3679356,8.863425,8.9847268,9.194795,9.7629784,9.7711452,9.4217424,9.2016726,9.200344,9.2826508,9.1592696,9.1977376,9.473182,9.1443164,9.3391852
CD36,9.2278116,9.0802328,9.7898548,8.9958938,9.8445456,8.6592058,8.8491578,9.5863762,8.9911632,9.8053376,8.9437828,9.4814542,8.7058754,7.9385262,7.7732416,8.511351,8.8656114,8.5342578,9.0565954,9.5565602,8.7328576,9.1990638,8.693184,9.73341
ELF1,9.1990638,9.1834382,8.9424412,8.9297478,9.0766686,9.3439006,9.1468544,9.2543738,9.2998646,9.0194606,9.238681,9.0631182,9.2100858,9.5652664,9.4498628,9.2051652,9.1620578,9.3221628,9.0499142,9.2967552,9.2130782,9.1103242,9.0887918,8.8206534
MSL2,9.2593034,9.2771836,9.0681298,8.798591,9.2225648,9.2115854,9.4273042,9.3189812,9.330571,9.376252,9.0657162,9.1552186,9.1691788,9.7305844,9.4289208,9.0693428,8.994658,9.1920096,9.0874688,9.4923498,9.0681298,9.1481272,9.086198,8.9562974
LAMC1,9.1036262,9.2100858,8.8040446,9.0776868,9.3176828,8.9484226,8.971677,8.912648,8.3932756,9.1366222,9.328692,9.3877304,9.0938834,8.3299096,8.2982706,8.9424412,9.4905432,9.2771836,8.9687132,8.4414316,9.1488431,9.0540834,9.2758336,8.9076556
FKBP1A,9.194795,8.7879944,9.2609056,8.971677,8.818232,9.1213922,9.1443164,9.1632856,8.7929648,9.1834382,9.414011,9.3575246,9.0356622,8.4260938,8.91485,9.2034384,9.0231446,8.8858524,8.9971428,9.0706718,9.017072,8.9847268,9.0250576,9.1326536
PROS1,9.0072034,9.2066896,9.325403,9.0669522,8.7380634,9.3064354,8.9389476,9.1468544,9.0938834,9.232443,8.6356502,8.971677,9.0706718,8.5025346,8.4601372,9.0485966,9.0081846,8.937826,9.3679356,9.3695924,9.241816,8.706679,9.2658428,8.9366692
HLA-DMA,8.9217686,8.832039,9.7140458,8.9042882,8.7149118,9.1175964,9.2051652,8.9640556,9.815832,8.7657902,9.2914856,9.1048688,9.200344,10.1311032,9.5396852,9.5093422,8.8471632,8.6426934,9.0356622,8.6452696,9.2758336,9.1468544,9.3160564,9.3592508
PHC3,9.1933966,9.0816782,8.983435,8.8733648,9.217847,9.0194606,9.1933966,9.2130782,9.200344,9.1721976,8.7967876,8.8914712,9.0579,9.5337614,9.303354,9.1552186,8.9424412,9.0816782,8.9744054,9.0194606,9.061733,9.0887918,9.0592976,9.186165
ETS1,8.4923442,8.4885212,8.5835578,8.758715,9.2207358,8.9612936,9.1707538,9.402935,9.288406,8.9981498,9.2250828,8.6997606,8.890457,9.944831,9.3713982,9.0208252,9.4122206,8.9958938,9.0208252,8.32655,8.693184,9.314519,8.3966334,9.1509268
RNF213,8.7027616,8.4037288,9.0416008,8.6298904,8.9252478,9.1834382,9.4940928,8.87729,9.3322352,8.863425,8.5724846,8.9054806,9.131322,9.5282078,9.4102146,9.622071,8.957621,8.5808764,8.7967876,8.4356848,8.868955,8.8005772,9.0329678,9.0464186
ANKRD1,10.560472,9.9846518,9.5652664,8.4451924,7.9940698,9.9115304,8.7120954,9.4905432,9.7305844,9.8505232,8.7543584,9.7653148,9.4418488,6.6801478,5.5844512,8.2907796,9.7246246,10.839044,8.8353072,10.041891,9.094998,9.914649,8.0600372,9.3439006
RAB2A,8.7159304,8.9651956,8.7744938,8.7657902,8.9343826,8.6700034,8.9821366,8.8848236,8.7007194,8.9799708,8.6550526,8.983435,8.7705968,8.5099182,8.8386386,8.7794676,8.9027846,8.7783346,9.018178,8.8827796,9.0290766,8.7714894,8.9508484,8.8125278
WWTR1,9.4575764,9.0751048,8.960314,8.7911448,8.8416446,8.9994416,9.0693428,9.0133102,8.751758,8.8745456,9.1580468,9.3160564,9.149559,8.3562578,8.3067268,8.851014,9.1353198,8.7311382,8.9508484,8.994658,9.1592696,8.6256656,8.7389552,8.8438896
ROCK2,8.7149118,9.0156788,8.2742838,8.5605846,9.141033,8.8792062,8.8827796,9.0735848,8.7825638,9.1977376,8.868955,9.1990638,8.983435,8.1379094,8.6274366,8.2377854,9.0839898,9.0056864,8.8992704,8.9448264,9.2563364,8.9343826,9.0133102,8.9066824
SLFN5,8.5571984,8.5718038,8.8815066,8.452752,8.7437178,8.9054806,8.8893718,8.9744054,9.2250828,9.0992482,8.3554718,8.5191638,8.5767296,9.5887714,9.3730692,8.9787214,9.0914974,8.8154392,8.983435,9.114453,8.6077664,9.0008572,8.7058754,9.1036262
CAPZB,8.8667516,8.7890684,8.758715,8.5447898,8.7131506,8.8491578,8.7657902,8.8206534,8.9183052,8.7303532,8.7794676,8.7744938,8.8644292,8.983435,8.833125,8.8144916,8.87729,8.8992704,8.514705,8.6628366,8.8416446,8.970306,8.670976,8.7939834
CDC42SE2,8.8353072,8.9287102,8.5622718,8.2829406,8.601461,8.6950156,9.0277998,8.9508484,9.1676618,8.740839,8.5648738,8.5656964,8.937826,9.8555878,9.330571,8.868955,8.7389552,8.775424,8.8837236,8.8745456,8.489451,8.758715,8.7169234,8.8471632
FHL1,8.7527542,9.0306424,9.2658428,8.91485,9.2520286,9.0156788,8.6513526,9.0828688,8.713985,8.8869786,9.127378,9.2016726,8.775424,8.4789196,7.9610706,8.5465868,9.0056864,9.2434112,8.9897726,8.6942042,8.9760518,9.3744644,8.7868678,9.2278116
VPS13C,8.4430398,8.386517,8.7007194,8.6356502,8.7890684,8.7180256,8.9730626,8.9399324,8.8893718,8.9252478,8.5048172,8.6162812,8.6811326,9.278784,9.0306424,8.6426934,8.6077664,8.649671,8.9936606,8.7899718,8.6769246,8.9204426,8.7554278,8.8309816
TNS1,9.2066896,9.1737,8.7939834,8.7017872,9.055555,8.9508484,8.9076556,8.8803718,8.1919912,8.7283836,8.8134666,9.1175964,9.1340876,8.5048172,7.9962844,8.8063906,9.0485966,8.9562974,8.9787214,8.4953092,8.9015986,8.6442768,8.87729,9.1620578
BROX,8.5122754,8.6592058,8.6847264,8.483987,8.3782194,8.558746,8.5694574,8.683865,8.912648,8.7311382,8.346451,8.4823282,8.6325412,9.2159256,8.7007194,8.4356848,8.4058892,8.489451,8.811552,8.7398652,8.5048172,9.0031372,8.7017872,8.7058754
PTPRC,8.006849,7.8109332,8.6266216,8.4614762,8.2244626,8.657189,8.8376572,8.8238468,9.6662816,8.8063906,8.1786978,8.0284978,8.5759378,9.8130976,9.3664882,8.9389476,8.6426934,8.7169234,9.0339978,7.876702,8.7254956,8.5237998,8.5177078,9.1676618
KIAA1551,8.6281552,8.7497532,8.9102172,8.6789746,8.4744134,8.8163932,8.3512634,8.3653052,8.9241004,8.6683252,8.5776138,8.52866,8.6960048,9.7411528,9.4775142,8.0228114,8.794908,8.439761,8.6274366,8.8542798,8.8144916,8.4131528,8.4101608,8.5191638
PARP4,8.4885212,8.579304,8.6391438,8.751758,8.3932756,8.674879,8.7847854,8.473718,8.7319686,8.6739728,8.7204946,8.5767296,8.690392,9.2100858,8.9193698,8.690392,8.9066824,8.4080888,8.553028,8.5170718,8.667542,8.8827796,8.8206534,8.971677
GLIPR1,8.0117532,8.3020734,8.604413,8.4975628,8.4239512,8.5497094,8.3960452,8.2576378,9.071894,8.5356648,8.470162,8.2867742,8.2607466,9.3064354,8.7180256,8.4917306,8.6438725,7.9385262,8.2358128,8.0959568,8.7007194,8.8531312,8.3376928,8.8923486
