"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"288210","B2M","KLRD1",42.9172413793103,"NK cells",1.94252873563218,"NK cells","other"
"287710","B2M","KLRD1",37.3729372937294,"T cells",1.94252873563218,"NK cells","other"
"288710","B2M","KLRD1",36.0444444444444,"VECs",1.94252873563218,"NK cells","other"
"268110","B2M","CD3D",42.9172413793103,"NK cells",1.20902090209021,"T cells","other"
"36219","TIMP1","CD63",13.0535211267606,"Fibroblasts",3.84788732394366,"Fibroblasts","other"
"267610","B2M","CD3D",37.3729372937294,"T cells",1.20902090209021,"T cells","other"
"268610","B2M","CD3D",36.0444444444444,"VECs",1.20902090209021,"T cells","other"
"36220","TIMP1","CD63",13.0535211267606,"Fibroblasts",3.12068965517241,"SMCs","other"
"265710","B2M","CD247",42.9172413793103,"NK cells",0.88735632183908,"NK cells","other"
"268210","B2M","CD3D",42.9172413793103,"NK cells",0.850574712643678,"NK cells","other"
"36218","TIMP1","CD63",13.0535211267606,"Fibroblasts",2.74248366013072,"VECs","other"
"265210","B2M","CD247",37.3729372937294,"T cells",0.88735632183908,"NK cells","other"
"266210","B2M","CD247",36.0444444444444,"VECs",0.88735632183908,"NK cells","other"
"267710","B2M","CD3D",37.3729372937294,"T cells",0.850574712643678,"NK cells","other"
"268710","B2M","CD3D",36.0444444444444,"VECs",0.850574712643678,"NK cells","other"
"289710","B2M","KLRD1",14.2241379310345,"SMCs",1.94252873563218,"NK cells","other"
"289210","B2M","KLRD1",13.2619718309859,"Fibroblasts",1.94252873563218,"NK cells","other"
"36224","TIMP1","CD63",5.9051724137931,"SMCs",3.84788732394366,"Fibroblasts","other"
"275710","B2M","HLA-F",42.9172413793103,"NK cells",0.489655172413793,"NK cells","other"
"18887","HLA-B","KLRD1",10.5895424836601,"VECs",1.94252873563218,"NK cells","other"
"285710","B2M","KLRC1",42.9172413793103,"NK cells",0.450574712643678,"NK cells","other"
"36225","TIMP1","CD63",5.9051724137931,"SMCs",3.12068965517241,"SMCs","other"
"275210","B2M","HLA-F",37.3729372937294,"T cells",0.489655172413793,"NK cells","other"
"18882","HLA-B","KLRD1",9.31724137931034,"NK cells",1.94252873563218,"NK cells","other"
"276210","B2M","HLA-F",36.0444444444444,"VECs",0.489655172413793,"NK cells","other"
"269610","B2M","CD3D",14.2241379310345,"SMCs",1.20902090209021,"T cells","other"
"275810","B2M","HLA-F",42.9172413793103,"NK cells",0.396078431372549,"VECs","other"
"285210","B2M","KLRC1",37.3729372937294,"T cells",0.450574712643678,"NK cells","other"
"270610","B2M","CD3G",42.9172413793103,"NK cells",0.388338833883388,"T cells","other"
"286210","B2M","KLRC1",36.0444444444444,"VECs",0.450574712643678,"NK cells","other"
"36223","TIMP1","CD63",5.9051724137931,"SMCs",2.74248366013072,"VECs","other"
"269110","B2M","CD3D",13.2619718309859,"Fibroblasts",1.20902090209021,"T cells","other"
"36214","TIMP1","CD63",3.86797385620915,"VECs",3.84788732394366,"Fibroblasts","other"
"275310","B2M","HLA-F",37.3729372937294,"T cells",0.396078431372549,"VECs","other"
"270110","B2M","CD3G",37.3729372937294,"T cells",0.388338833883388,"T cells","other"
"276310","B2M","HLA-F",36.0444444444444,"VECs",0.396078431372549,"VECs","other"
"288110","B2M","KLRD1",42.9172413793103,"NK cells",0.331133113311331,"T cells","other"
"271110","B2M","CD3G",36.0444444444444,"VECs",0.388338833883388,"T cells","other"
"18877","HLA-B","KLRD1",7.19141914191419,"T cells",1.94252873563218,"NK cells","other"
"275610","B2M","HLA-F",42.9172413793103,"NK cells",0.306930693069307,"T cells","other"
"270710","B2M","CD3G",42.9172413793103,"NK cells",0.298850574712644,"NK cells","other"
"18786","HLA-B","CD3D",10.5895424836601,"VECs",1.20902090209021,"T cells","other"
"267210","B2M","CD247",14.2241379310345,"SMCs",0.88735632183908,"NK cells","other"
"287610","B2M","KLRD1",37.3729372937294,"T cells",0.331133113311331,"T cells","other"
"269710","B2M","CD3D",14.2241379310345,"SMCs",0.850574712643678,"NK cells","other"
"36215","TIMP1","CD63",3.86797385620915,"VECs",3.12068965517241,"SMCs","other"
"288610","B2M","KLRD1",36.0444444444444,"VECs",0.331133113311331,"T cells","other"
"266710","B2M","CD247",13.2619718309859,"Fibroblasts",0.88735632183908,"NK cells","other"
"275110","B2M","HLA-F",37.3729372937294,"T cells",0.306930693069307,"T cells","other"
"265610","B2M","CD247",42.9172413793103,"NK cells",0.262926292629263,"T cells","other"
"269210","B2M","CD3D",13.2619718309859,"Fibroblasts",0.850574712643678,"NK cells","other"
"18781","HLA-B","CD3D",9.31724137931034,"NK cells",1.20902090209021,"T cells","other"
"270210","B2M","CD3G",37.3729372937294,"T cells",0.298850574712644,"NK cells","other"
"276110","B2M","HLA-F",36.0444444444444,"VECs",0.306930693069307,"T cells","other"
"36217","TIMP1","CD63",13.0535211267606,"Fibroblasts",0.845977011494253,"NK cells","other"
"271210","B2M","CD3G",36.0444444444444,"VECs",0.298850574712644,"NK cells","other"
"19287","HLA-E","KLRD1",5.4797385620915,"VECs",1.94252873563218,"NK cells","other"
"36213","TIMP1","CD63",3.86797385620915,"VECs",2.74248366013072,"VECs","other"
"265110","B2M","CD247",37.3729372937294,"T cells",0.262926292629263,"T cells","other"
"38146","VIM","CD44",10.2758620689655,"SMCs",0.954895489548955,"T cells","other"
"266110","B2M","CD247",36.0444444444444,"VECs",0.262926292629263,"T cells","other"
"14670","FBLN1","ITGB1",7.19718309859155,"Fibroblasts",1.26724137931034,"SMCs","other"
"18787","HLA-B","CD3D",10.5895424836601,"VECs",0.850574712643678,"NK cells","other"
"38141","VIM","CD44",9.28169014084507,"Fibroblasts",0.954895489548955,"T cells","other"
"11093","CYR61","CAV1",3.23943661971831,"Fibroblasts",2.70065359477124,"VECs","other"
"18776","HLA-B","CD3D",7.19141914191419,"T cells",1.20902090209021,"T cells","other"
"18782","HLA-B","CD3D",9.31724137931034,"NK cells",0.850574712643678,"NK cells","other"
"38136","VIM","CD44",8.15816993464052,"VECs",0.954895489548955,"T cells","other"
"18531","HLA-A","CD3D",6.38620689655172,"NK cells",1.20902090209021,"T cells","other"
"18961","HLA-C","CD3D",6.14248366013072,"VECs",1.20902090209021,"T cells","other"
"18536","HLA-A","CD3D",5.94117647058824,"VECs",1.20902090209021,"T cells","other"
"18956","HLA-C","CD3D",5.8551724137931,"NK cells",1.20902090209021,"T cells","other"
"277210","B2M","HLA-F",14.2241379310345,"SMCs",0.489655172413793,"NK cells","other"
"38149","VIM","CD44",10.2758620689655,"SMCs",0.670422535211268,"Fibroblasts","other"
"11095","CYR61","CAV1",3.23943661971831,"Fibroblasts",2.06034482758621,"SMCs","other"
"36216","TIMP1","CD63",13.0535211267606,"Fibroblasts",0.503850385038504,"T cells","other"
"276710","B2M","HLA-F",13.2619718309859,"Fibroblasts",0.489655172413793,"NK cells","other"
"18526","HLA-A","CD3D",5.31243124312431,"T cells",1.20902090209021,"T cells","other"
"287210","B2M","KLRC1",14.2241379310345,"SMCs",0.450574712643678,"NK cells","other"
"14668","FBLN1","ITGB1",7.19718309859155,"Fibroblasts",0.875816993464052,"VECs","other"
"38144","VIM","CD44",9.28169014084507,"Fibroblasts",0.670422535211268,"Fibroblasts","other"
"18777","HLA-B","CD3D",7.19141914191419,"T cells",0.850574712643678,"NK cells","other"
"6375","CALM2","MYLK",4.74137931034483,"SMCs",1.27586206896552,"SMCs","other"
"286710","B2M","KLRC1",13.2619718309859,"Fibroblasts",0.450574712643678,"NK cells","other"
"277310","B2M","HLA-F",14.2241379310345,"SMCs",0.396078431372549,"VECs","other"
"272110","B2M","CD3G",14.2241379310345,"SMCs",0.388338833883388,"T cells","other"
"38139","VIM","CD44",8.15816993464052,"VECs",0.670422535211268,"Fibroblasts","other"
"18532","HLA-A","CD3D",6.38620689655172,"NK cells",0.850574712643678,"NK cells","other"
"285610","B2M","KLRC1",42.9172413793103,"NK cells",0.126512651265127,"T cells","other"
"19282","HLA-E","KLRD1",2.78390804597701,"NK cells",1.94252873563218,"NK cells","other"
"208810","APP","CD74",1.26666666666667,"VECs",4.16339869281046,"VECs","other"
"276810","B2M","HLA-F",13.2619718309859,"Fibroblasts",0.396078431372549,"VECs","other"
"18962","HLA-C","CD3D",6.14248366013072,"VECs",0.850574712643678,"NK cells","other"
"271610","B2M","CD3G",13.2619718309859,"Fibroblasts",0.388338833883388,"T cells","other"
"18537","HLA-A","CD3D",5.94117647058824,"VECs",0.850574712643678,"NK cells","other"
"18951","HLA-C","CD3D",4.15731573157316,"T cells",1.20902090209021,"T cells","other"
"36222","TIMP1","CD63",5.9051724137931,"SMCs",0.845977011494253,"NK cells","other"
"18957","HLA-C","CD3D",5.8551724137931,"NK cells",0.850574712643678,"NK cells","other"
"38147","VIM","CD44",10.2758620689655,"SMCs",0.466666666666667,"NK cells","other"
"285110","B2M","KLRC1",37.3729372937294,"T cells",0.126512651265127,"T cells","other"
"289610","B2M","KLRD1",14.2241379310345,"SMCs",0.331133113311331,"T cells","other"
"286110","B2M","KLRC1",36.0444444444444,"VECs",0.126512651265127,"T cells","other"
"18527","HLA-A","CD3D",5.31243124312431,"T cells",0.850574712643678,"NK cells","other"
"271111","CXCL12","CXCR4",0.728104575163399,"VECs",6.18921892189219,"T cells","cytokine"
"20263","ICAM1","CAV1",1.6562091503268,"VECs",2.70065359477124,"VECs","other"
"289110","B2M","KLRD1",13.2619718309859,"Fibroblasts",0.331133113311331,"T cells","other"
"277110","B2M","HLA-F",14.2241379310345,"SMCs",0.306930693069307,"T cells","other"
"278210","B2M","KIR2DL1",42.9172413793103,"NK cells",0.101149425287356,"NK cells","other"
"38142","VIM","CD44",9.28169014084507,"Fibroblasts",0.466666666666667,"NK cells","other"
"34043","SERPING1","SELE",3.19718309859155,"Fibroblasts",1.33202614379085,"VECs","other"
"272210","B2M","CD3G",14.2241379310345,"SMCs",0.298850574712644,"NK cells","other"
"8995","COL1A2","ITGB1",3.25633802816901,"Fibroblasts",1.26724137931034,"SMCs","other"
"14669","FBLN1","ITGB1",7.19718309859155,"Fibroblasts",0.571830985915493,"Fibroblasts","other"
"18811","HLA-B","CD3G",10.5895424836601,"VECs",0.388338833883388,"T cells","other"
"18892","HLA-B","KLRD1",2.10985915492958,"Fibroblasts",1.94252873563218,"NK cells","other"
"18510","HLA-A","APLP2",6.38620689655172,"NK cells",0.637931034482759,"SMCs","other"
"276610","B2M","HLA-F",13.2619718309859,"Fibroblasts",0.306930693069307,"T cells","other"
"276010","B2M","HLA-F",42.9172413793103,"NK cells",0.0948275862068965,"SMCs","other"
"275910","B2M","HLA-F",42.9172413793103,"NK cells",0.0929577464788732,"Fibroblasts","other"
"271710","B2M","CD3G",13.2619718309859,"Fibroblasts",0.298850574712644,"NK cells","other"
"18509","HLA-A","APLP2",6.38620689655172,"NK cells",0.608450704225352,"Fibroblasts","other"
"271211","CXCL12","CXCR4",0.728104575163399,"VECs",5.28275862068966,"NK cells","cytokine"
"38137","VIM","CD44",8.15816993464052,"VECs",0.466666666666667,"NK cells","other"
"18515","HLA-A","APLP2",5.94117647058824,"VECs",0.637931034482759,"SMCs","other"
"277710","B2M","KIR2DL1",37.3729372937294,"T cells",0.101149425287356,"NK cells","other"
"267110","B2M","CD247",14.2241379310345,"SMCs",0.262926292629263,"T cells","other"
"19277","HLA-E","KLRD1",1.88008800880088,"T cells",1.94252873563218,"NK cells","other"
"18765","HLA-B","CANX",10.5895424836601,"VECs",0.344827586206897,"SMCs","other"
"278710","B2M","KIR2DL1",36.0444444444444,"VECs",0.101149425287356,"NK cells","other"
"18806","HLA-B","CD3G",9.31724137931034,"NK cells",0.388338833883388,"T cells","other"
"18514","HLA-A","APLP2",5.94117647058824,"VECs",0.608450704225352,"Fibroblasts","other"
"280710","B2M","KIR2DL3",42.9172413793103,"NK cells",0.0827586206896552,"NK cells","other"
"18897","HLA-B","KLRD1",1.82758620689655,"SMCs",1.94252873563218,"NK cells","other"
"275510","B2M","HLA-F",37.3729372937294,"T cells",0.0948275862068965,"SMCs","other"
"18952","HLA-C","CD3D",4.15731573157316,"T cells",0.850574712643678,"NK cells","other"
"18886","HLA-B","KLRD1",10.5895424836601,"VECs",0.331133113311331,"T cells","other"
"266610","B2M","CD247",13.2619718309859,"Fibroblasts",0.262926292629263,"T cells","other"
"275410","B2M","HLA-F",37.3729372937294,"T cells",0.0929577464788732,"Fibroblasts","other"
"19163","HLA-C","NOTCH4",6.14248366013072,"VECs",0.564705882352941,"VECs","other"
"206310","APP","CAV1",1.26666666666667,"VECs",2.70065359477124,"VECs","other"
"18763","HLA-B","CANX",10.5895424836601,"VECs",0.322875816993464,"VECs","other"
"276510","B2M","HLA-F",36.0444444444444,"VECs",0.0948275862068965,"SMCs","other"
"20265","ICAM1","CAV1",1.6562091503268,"VECs",2.06034482758621,"SMCs","other"
"18505","HLA-A","APLP2",5.31243124312431,"T cells",0.637931034482759,"SMCs","other"
"276410","B2M","HLA-F",36.0444444444444,"VECs",0.0929577464788732,"Fibroblasts","other"
"19158","HLA-C","NOTCH4",5.8551724137931,"NK cells",0.564705882352941,"VECs","other"
"36212","TIMP1","CD63",3.86797385620915,"VECs",0.845977011494253,"NK cells","other"
"18504","HLA-A","APLP2",5.31243124312431,"T cells",0.608450704225352,"Fibroblasts","other"
"18508","HLA-A","APLP2",6.38620689655172,"NK cells",0.504575163398693,"VECs","other"
"18760","HLA-B","CANX",9.31724137931034,"NK cells",0.344827586206897,"SMCs","other"
"18812","HLA-B","CD3G",10.5895424836601,"VECs",0.298850574712644,"NK cells","other"
"18764","HLA-B","CANX",10.5895424836601,"VECs",0.298591549295775,"Fibroblasts","other"
"8791","COL1A2","CD44",3.25633802816901,"Fibroblasts",0.954895489548955,"T cells","other"
"280210","B2M","KIR2DL3",37.3729372937294,"T cells",0.0827586206896552,"NK cells","other"
"18881","HLA-B","KLRD1",9.31724137931034,"NK cells",0.331133113311331,"T cells","other"
"295610","B2M","TFRC",42.9172413793103,"NK cells",0.0704070407040704,"T cells","other"
"18758","HLA-B","CANX",9.31724137931034,"NK cells",0.322875816993464,"VECs","other"
"18513","HLA-A","APLP2",5.94117647058824,"VECs",0.504575163398693,"VECs","other"
"281210","B2M","KIR2DL3",36.0444444444444,"VECs",0.0827586206896552,"NK cells","other"
"36221","TIMP1","CD63",5.9051724137931,"SMCs",0.503850385038504,"T cells","other"
"11269","DCN","EGFR",25.6957746478873,"Fibroblasts",0.115492957746479,"Fibroblasts","other"
"9000","COL1A2","ITGB1",2.32758620689655,"SMCs",1.26724137931034,"SMCs","other"
"8993","COL1A2","ITGB1",3.25633802816901,"Fibroblasts",0.875816993464052,"VECs","other"
"11192","CYR61","ITGB2",3.23943661971831,"Fibroblasts",0.868965517241379,"NK cells","other"
"18801","HLA-B","CD3G",7.19141914191419,"T cells",0.388338833883388,"T cells","other"
"19292","HLA-E","KLRD1",1.43661971830986,"Fibroblasts",1.94252873563218,"NK cells","other"
"18807","HLA-B","CD3G",9.31724137931034,"NK cells",0.298850574712644,"NK cells","other"
"18759","HLA-B","CANX",9.31724137931034,"NK cells",0.298591549295775,"Fibroblasts","other"
"191000","A2M","LRP1",5.7943661971831,"Fibroblasts",0.470422535211268,"Fibroblasts","other"
"18503","HLA-A","APLP2",5.31243124312431,"T cells",0.504575163398693,"VECs","other"
"283210","B2M","KIR3DL1",42.9172413793103,"NK cells",0.0620689655172414,"NK cells","other"
"8818","COL1A2","CD93",3.25633802816901,"Fibroblasts",0.813071895424837,"VECs","other"
"18541","HLA-A","CD3D",2.1830985915493,"Fibroblasts",1.20902090209021,"T cells","other"
"295810","B2M","TFRC",42.9172413793103,"NK cells",0.061437908496732,"VECs","other"
"295110","B2M","TFRC",37.3729372937294,"T cells",0.0704070407040704,"T cells","other"
"20268","ICAM1","CAV1",0.971830985915493,"Fibroblasts",2.70065359477124,"VECs","other"
"15670","FN1","ITGB1",2.06197183098592,"Fibroblasts",1.26724137931034,"SMCs","other"
